No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
866,2010-01-11T16:30:00,2010-01-12T17:16,42,0.05 - 0.14 µm,0.063,0.0026,0.0061,<0.0006,<0.0006,<0.0025,0.0159,0.0042,0.0228,<0.0002,<0.0002,0.037,<0.010,0.044,1.61,0.06,0.05,0.06,<0.0096,0.66,0.2,0.17,0.21,<0.0228,0.003,<0.001,<0.0372,<0.0048,<0.0048,0.006,<0.006
867,2010-01-11T16:30:00,2010-01-12T17:16,42,0.14 - 0.42 µm,0.636,0.0661,0.0119,<0.0006,0.0056,0.0027,0.0501,0.0078,0.1934,0.0014,<0.0002,0.085,<0.010,0.087,3.29,0.05,0.28,0.18,<0.0096,1.11,0.3,0.16,0.09,0.026,0.025,0.002,0.051,0.011,<0.0048,0.057,<0.006
868,2010-01-11T16:30:00,2010-01-12T17:16,42,0.42 - 1.2 µm,5.886,0.6887,0.0016,0.02,0.0922,0.0603,1.251,0.0758,0.3013,0.0064,<0.0002,0.077,<0.010,0.081,45.5,3.25,0.16,0.15,0.728,45.27,0.21,0.16,0.24,0.052,0.02,0.041,0.831,0.064,1.016,0.682,0.068
869,2010-01-11T16:30:00,2010-01-12T17:16,42,1.2 - 3.5 µm,28.971,6.7001,0.0021,0.2373,1.0962,0.7066,11.1037,0.62,2.2878,0.0556,0.0034,0.191,0.023,0.214,201.81,14.92,0.56,0.55,3.414,217.01,0.42,0.34,0.43,0.055,0.168,0.096,3.35,0.331,4.086,2.026,0.318
870,2010-01-11T16:30:00,2010-01-12T17:16,42,3.5 - 10 µm,31.786,6.8745,0.0109,0.3071,1.1,0.5917,11.456,0.2262,2.0525,0.0139,0.0146,0.24,<0.010,0.245,216.15,15.2,0.44,2.22,2.481,193.87,1.06,0.25,0.41,0.063,0.079,0.004,4.179,0.425,1.977,1.578,0.562
871,2010-01-12T20:37:00,2010-01-13T10:51,42,0.05 - 0.14 µm,0.446,0.0088,0.0012,0.0007,0.0044,0.0058,0.0319,0.0069,0.0135,<0.0002,<0.0002,,,0.173,3.18,0.09,0.04,0.33,<0.0096,0.76,0.25,0.21,0.16,<0.0228,<0.003,<0.001,0.038,<0.0048,<0.0048,<0.0036,<0.006
872,2010-01-12T20:37:00,2010-01-13T10:51,42,0.14 - 0.42 µm,0.773,0.0933,0.0007,0.0011,0.0077,0.0261,0.1468,0.0103,0.1163,0.0026,<0.0002,0.112,<0.010,0.113,4.93,0.03,0.21,0.13,0.04,1.03,0.4,0.31,0.22,<0.0228,0.011,0.006,0.089,<0.0048,0.022,0.012,<0.006
873,2010-01-12T20:37:00,2010-01-13T10:51,42,0.42 - 1.2 µm,6.711,0.9945,0.0011,0.0254,0.1203,0.063,1.8265,0.117,0.3287,0.0029,<0.0002,0.142,0.017,0.159,27.47,0.22,0.02,0.19,0.33,9.12,0.29,0.26,0.18,<0.0228,0.012,0.037,0.554,0.006,0.502,<0.0036,0.03
874,2010-01-12T20:37:00,2010-01-13T10:51,42,1.2 - 3.5 µm,32.433,5.9159,0.0016,0.2346,1.0854,0.641,10.429,0.696,2.3263,0.021,0.0049,0.26,0.032,0.292,217.55,7.34,0.18,0.23,1.949,102.04,0.31,0.32,0.32,0.049,0.039,0.125,3.642,0.148,3.173,0.136,0.289
875,2010-01-12T20:37:00,2010-01-13T10:51,42,3.5 - 10 µm,40.016,8.0952,0.0005,0.3219,1.3148,0.6486,14.967,0.2227,2.7286,0.0074,0.0249,0.274,0.046,0.32,223.08,7.96,0.17,0.36,1.659,88.45,0.21,0.21,0.29,0.037,0.036,0.005,4.161,0.168,2.168,0.086,0.285
876,2010-01-13T11:31:00,2010-01-14T11:01,42,0.05 - 0.14 µm,0.196,0.0099,0.0026,<0.0006,0.0019,<0.0025,0.0233,0.0038,0.0141,<0.0002,<0.0002,0.054,<0.010,0.059,1.63,0.02,0.09,0.06,<0.0096,0.49,0.27,0.23,0.13,<0.0228,0.003,0.001,<0.0372,<0.0048,<0.0048,<0.0036,<0.006
877,2010-01-13T11:31:00,2010-01-14T11:01,42,0.14 - 0.42 µm,0.598,0.0786,<0.0006,<0.0006,0.007,<0.0025,0.1004,0.006,0.1077,0.0013,<0.0002,0.068,<0.010,0.073,5.06,0.05,0.42,0.08,0.152,1.3,0.43,0.25,0.17,<0.0228,0.01,0.01,0.099,<0.0048,0.041,0.011,<0.006
878,2010-01-13T11:31:00,2010-01-14T11:01,42,0.42 - 1.2 µm,6.516,1.0392,<0.0006,0.0337,0.1693,0.0955,1.7588,0.1145,0.3798,0.0027,<0.0002,0.102,0.017,0.119,30.79,1.9,0.08,0.13,0.625,26.88,0.29,0.24,0.16,<0.0228,0.017,0.04,0.742,0.026,0.804,<0.0036,0.075
879,2010-01-13T11:31:00,2010-01-14T11:01,42,1.2 - 3.5 µm,29.732,5.2259,<0.0006,0.2358,1.0898,0.6975,8.7758,0.651,2.237,0.0254,0.0109,0.213,0.023,0.236,207.58,8.09,0.23,0.24,2.68,116.16,0.26,0.25,0.33,0.076,0.058,0.128,3.825,0.179,4.411,0.207,0.305
880,2010-01-13T11:31:00,2010-01-14T11:01,42,3.5 - 10 µm,42.051,9.1927,<0.0006,0.3961,1.4707,0.7472,15.2528,0.2236,2.7658,0.0086,0.0329,0.232,0.016,0.248,264.86,13.45,0.27,0.48,2.096,138.3,0.21,0.16,0.33,0.063,0.034,0.004,5.268,0.28,3.344,0.204,0.328
881,2010-01-14T11:30:00,2010-01-15T11:09,42,0.05 - 0.14 µm,0.173,0.0249,0.0068,<0.0006,0.0047,<0.0025,0.0436,0.0031,0.0305,<0.0002,<0.0002,0.044,<0.010,0.047,1.54,0.03,0.13,0.16,<0.0096,0.41,0.22,0.15,0.09,<0.0228,0.003,0.001,<0.0372,<0.0048,<0.0048,<0.0036,<0.006
882,2010-01-14T11:30:00,2010-01-15T11:09,42,0.14 - 0.42 µm,0.551,0.0696,0.002,<0.0006,0.0055,<0.0025,0.0255,0.0049,0.2039,0.0027,<0.0002,0.069,<0.010,0.073,5.11,0.04,0.69,0.05,<0.0096,0.75,0.43,0.2,0.18,<0.0228,0.01,0.005,0.095,<0.0048,0.023,0.022,<0.006
883,2010-01-14T11:30:00,2010-01-15T11:09,42,0.42 - 1.2 µm,4.056,0.8531,0.0022,0.0215,0.1167,0.0385,1.474,0.093,0.3292,0.0025,<0.0002,0.102,<0.010,0.111,27.12,0.59,0.09,0.07,0.113,7.41,0.23,0.15,0.16,<0.0228,0.009,0.028,0.548,0.007,0.145,0.029,0.054
884,2010-01-14T11:30:00,2010-01-15T11:09,42,1.2 - 3.5 µm,22.749,5.4247,0.0014,0.2196,0.9769,0.341,9.0582,0.8474,1.9677,0.0254,0.0164,0.182,<0.010,0.187,182.89,4.74,0.13,0.16,0.868,54.19,0.27,0.18,0.33,0.052,0.028,0.114,3.697,0.065,1.083,<0.0036,0.16
885,2010-01-14T11:30:00,2010-01-15T11:09,42,3.5 - 10 µm,40.974,8.7705,<0.0006,0.4153,1.6487,0.5651,15.5029,0.4469,3.0521,0.0076,0.0404,0.22,<0.010,0.229,123.54,7.45,0.16,0.21,0.743,74.46,0.11,0.09,0.21,0.061,0.038,0.003,2.741,0.146,0.785,<0.0036,0.165
886,2010-01-15T11:32:00,2010-01-16T11:07,42,0.05 - 0.14 µm,0.158,0.0077,0.0024,<0.0006,0.0031,<0.0025,0.0134,0.004,0.0194,<0.0002,<0.0002,0.046,<0.010,0.05,2.09,0.04,0.07,<0.0336,<0.0096,0.68,0.2,0.13,0.11,<0.0228,0.003,0.002,<0.0372,<0.0048,0.027,0.016,0.015
887,2010-01-15T11:32:00,2010-01-16T11:07,42,0.14 - 0.42 µm,0.786,0.0711,0.0105,<0.0006,0.0059,<0.0025,0.0265,0.0034,0.2393,0.0023,<0.0002,0.07,0.013,0.084,3.8,0.08,0.55,0.2,0.036,1.08,0.36,0.13,0.16,<0.0228,0.013,0.007,0.082,<0.0048,0.065,0.012,<0.006
888,2010-01-15T11:32:00,2010-01-16T11:07,42,0.42 - 1.2 µm,4.195,0.9469,0.0031,0.0223,0.1459,0.0824,1.5241,0.0765,0.5393,0.0031,<0.0002,0.074,0.009,0.083,41.93,3.38,0.17,0.35,0.386,33.06,0.24,0.16,0.21,0.044,0.02,0.058,0.894,0.039,0.384,<0.0036,0.102
889,2010-01-15T11:32:00,2010-01-16T11:07,42,1.2 - 3.5 µm,16.016,3.4455,0.0134,0.1136,0.4571,0.4071,5.8486,0.3363,1.0684,0.006,0.117,0.193,0.017,0.21,116.76,7.96,0.17,0.22,1.198,91.89,0.2,0.19,0.27,0.043,0.022,0.072,1.533,0.147,1.65,0.221,0.234
890,2010-01-15T11:32:00,2010-01-16T11:07,42,3.5 - 10 µm,37.865,6.9348,0.0093,0.2672,1.0669,0.5145,12.7102,0.2082,2.1292,0.0072,0.0198,0.451,0.065,0.516,178.31,6.97,0.15,0.21,26.195,115.69,2.05,0.12,0.24,1.99,0.072,0.009,2.364,0.278,1,33.501,0.248
