No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
821,2011-01-11T14:48:00,2011-01-14T11:28,42,0.05 - 0.14 µm,0.477,-0.0004,0.0083,<0.0006,0.0007,0.0028,0.0028,0.0027,0.0326,0.001,<0.0002,0.02,<0.010,0.028,2.69,0.22,0.068,<0.0336,0.05,2.8,0.03,0.08,0.38,0.023,0.005,0.001,0.03,<0.0048,<0.0048,<0.0036,0.01
822,2011-01-11T14:48:00,2011-01-14T11:28,42,0.14 - 0.42 µm,1.617,0.0094,0.0892,0.0044,0.005,0.0172,0.0071,0.0044,0.3028,0.0055,0.0006,0.034,0.013,0.046,7.48,0.68,0.382,<0.0336,0.27,10.3,0.15,0.23,0.6,0.213,0.041,0.013,0.13,0.012,0.22,0.06,0.03
823,2011-01-11T14:48:00,2011-01-14T11:28,42,0.42 - 1.2 µm,6.705,0.1471,0.013,0.0128,0.0164,0.0504,0.1712,0.0782,0.2595,0.0027,<0.0002,0.046,0.032,0.078,22.99,1.95,0.091,0.06,0.74,27.79,0.03,0.29,0.62,0.249,0.036,0.016,0.41,0.034,0.59,<0.0036,0.08
824,2011-01-11T14:48:00,2011-01-14T11:28,42,1.2 - 3.5 µm,40.365,1.2907,0.014,0.0629,0.0765,0.4156,2.0351,0.5446,0.5627,0.0139,0.0005,0.189,0.044,0.233,287.62,35.26,1.011,0.71,10.88,535.84,0.42,0.4,1.18,0.948,<0.003,0.082,6.45,1.294,5.9,4.05,1.02
825,2011-01-11T14:48:00,2011-01-14T11:28,42,3.5 - 10 µm,32.766,1.8802,0.0111,0.0736,0.084,0.5087,3.2168,0.2394,0.7004,0.0086,0.0007,0.268,0.047,0.315,284.65,52.42,0.785,0.9,8.94,556.6,0.41,0.43,1.03,0.983,<0.003,,5.37,1.299,7.31,4.4,1.08
1106,2011-01-14T11:56:00,2011-01-17T11:20,42,0.05 - 0.14 µm,0.334,0.0044,0.0082,<0.0006,0.001,0.0144,0.0061,0.0027,0.0232,<0.0002,<0.0002,0.035,0.014,0.049,2.78,0.16,0.046,0.05,0.02,1.96,0.02,<0.048,0.42,0.023,0.004,0.001,0.02,<0.0048,<0.0048,<0.0036,<0.006
1107,2011-01-14T11:56:00,2011-01-17T11:20,42,0.14 - 0.42 µm,1.049,0.0079,0.0632,0.0029,0.0021,0.0179,0.0043,0.0035,0.1919,0.0011,<0.0002,0.053,0.021,0.075,5.58,0.25,0.259,<0.0336,0.12,4.52,0.1,<0.048,0.45,0.106,0.014,0.012,0.08,0.005,0.15,0.01,0.01
1108,2011-01-14T11:56:00,2011-01-17T11:20,42,0.42 - 1.2 µm,3,0.1029,0.0037,0.0068,0.0144,0.0603,0.1315,0.0609,0.1444,0.0022,0.0002,0.048,0.023,0.071,35.82,1.07,0.097,0.05,0.68,24.17,0.04,<0.048,0.45,0.182,0.031,0.04,0.56,0.029,0.62,<0.0036,0.08
1109,2011-01-14T11:56:00,2011-01-17T11:20,42,1.2 - 3.5 µm,17.165,0.996,0.0027,0.0465,0.067,0.361,1.664,0.4121,0.4659,0.0141,0.0003,0.162,0.012,0.175,307.55,25.11,0.648,0.58,5.88,338.83,0.26,0.24,0.76,0.417,<0.003,0.084,4.79,0.588,4.73,1.25,0.77
1110,2011-01-14T11:56:00,2011-01-17T11:20,42,3.5 - 10 µm,12.661,1.1258,0.0028,0.0467,0.0568,0.2821,2.0507,0.1742,0.3627,0.0028,0.0007,0.162,0.006,0.169,158.4,13.5,0.262,0.28,2.27,155.59,0.12,0.11,0.34,0.174,<0.003,0.005,2.3,0.325,2.16,0.67,0.37
1121,2011-01-17T11:55:00,2011-01-18T11:00,42,0.05 - 0.14 µm,0.379,0.0098,0.0086,<0.0006,0.0044,0.0518,0.0155,0.0055,0.0181,<0.0002,<0.0002,0.088,0.021,0.109,5.95,0.13,0.079,0.1,0.02,1.9,0.04,0.05,1.01,0.026,0.006,<0.001,0.04,<0.0048,0.05,<0.0036,0.01
1122,2011-01-17T11:55:00,2011-01-18T11:00,42,0.14 - 0.42 µm,1.237,0.0176,0.043,0.0007,0.0025,0.0372,0.0212,0.0064,0.1378,<0.0002,<0.0002,0.06,0.018,0.078,10.84,0.33,0.313,0.05,0.17,5.67,0.14,0.07,1.2,0.082,<0.003,0.008,0.1,0.009,<0.0048,<0.0036,<0.006
1123,2011-01-17T11:55:00,2011-01-18T11:00,42,0.42 - 1.2 µm,10.932,0.5735,0.0229,0.0378,0.0578,0.2767,0.9354,0.3426,0.3421,0.0063,0.0004,0.083,<0.010,0.083,63.02,7.19,0.173,0.25,2.22,90.12,0.09,0.11,1.22,0.106,0.026,0.045,1.13,0.122,1.87,0.33,0.32
1124,2011-01-17T11:55:00,2011-01-18T11:00,42,1.2 - 3.5 µm,61.197,1.561,0.0304,0.0978,0.1339,0.7338,2.675,0.8729,0.9051,0.016,0.0006,0.47,0.152,0.621,751.31,54.64,1.361,1.39,21.99,738.67,0.53,0.56,1.78,0.941,<0.003,0.114,11.57,1.352,13.71,2.75,3
1125,2011-01-17T11:55:00,2011-01-18T11:00,42,3.5 - 10 µm,47.047,1.693,0.0181,0.0924,0.1288,0.648,3.0081,0.3765,0.7442,0.0114,0.0008,0.496,0.196,0.693,481.91,120.36,1.278,2.16,17.79,1092.46,0.84,0.73,2.07,1.565,<0.003,<0.001,8.39,2.47,19.02,7.62,2.91
1126,2011-01-18T11:35:00,2011-01-19T11:05,42,0.05 - 0.14 µm,1.142,0.0054,0.0066,<0.0006,0.0028,0.0434,0.0123,0.0094,0.0227,<0.0002,<0.0002,0.113,0.064,0.177,10.23,2.27,0.093,0.25,0.25,21.42,0.04,0.12,1.08,0.032,0.019,<0.001,0.14,0.024,0.24,0.04,0.07
