No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
1251,2012-01-13T11:31:00,2012-01-12T15:10,42,0.05 - 0.14 µm,0.266,0.1013,0.0105,<0.0006,0.0029,0.0488,0.1891,0.0047,0.0495,0.0007,0.0003,0.071,0.011,0.082,3.11,0.25,0.018,<0.0336,<0.0096,3.05,0.046,<0.048,0.166,0.061,0.008,<0.001,0.077,0.012,<0.0048,<0.0036,<0.006
1252,2012-01-13T11:31:00,2012-01-12T15:10,42,0.14 - 0.42 µm,1.144,0.0107,0.0353,0.0036,0.003,0.0703,0.0133,0.0059,0.2367,0.0032,<0.0002,0,0.054,0.054,16.97,1.677,0.899,0.447,0.396,19.7,0.346,0.055,0.295,0.192,0.199,0.015,0.3,0.024,0.321,0.11,0.028
1253,2012-01-13T11:31:00,2012-01-12T15:10,42,0.42 - 1.2 µm,8.953,0.1442,0.0041,0.0106,0.0231,0.246,0.2118,0.1996,0.3093,0.0206,0.0019,0.12,0.01,0.13,246.73,4.71,0.795,0.323,3.882,110.04,0.151,0.125,0.447,0.385,0.206,0.145,2.934,0.118,4.167,0.127,0.44
1254,2012-01-13T11:31:00,2012-01-12T15:10,42,1.2 - 3.5 µm,44.887,1.199,0.0176,0.0769,0.1043,1.0858,1.9797,0.9071,1.2909,0.0658,0.0042,0.736,0.201,0.938,1327.97,24.512,1.875,2.113,14.183,456.7,0.506,0.573,1.354,0.638,1.693,0.2,12.391,0.704,10.299,1.476,2.64
1255,2012-01-13T11:31:00,2012-01-12T15:10,42,3.5 - 10 µm,40.703,1.4175,0.0131,0.0795,0.1141,0.9331,2.5911,0.489,1.2806,0.0427,0.0045,0.894,0.262,1.156,1424.18,146.941,4.543,3.64,21.601,1520.84,1.474,1.18,3.176,1.968,0.606,0.011,15.973,3.336,24.78,14.877,4.332
1256,2012-01-13T18:47:00,2012-01-13T12:14,42,0.05 - 0.14 µm,0.346,0.0075,0.0107,<0.0006,0.0034,0.1803,0.0404,0.0125,0.066,0.0012,<0.0002,0.211,0,0.211,8.4,0.224,<0.0036,0.575,<0.0096,9.35,0.037,0.052,0.406,0.095,<0.003,0.004,0.197,0.026,<0.0048,<0.0036,<0.006
1257,2012-01-13T18:47:00,2012-01-13T12:14,42,0.14 - 0.42 µm,1.361,<0.0006,0.0385,<0.0006,0.0037,0.2445,0.0177,0.0114,0.2722,0.0061,0.0027,0.339,0.036,0.375,20.65,5.603,0.847,0.316,0.319,35.36,0.316,0.087,0.641,0.307,0.039,<0.001,0.499,0.041,0.06,<0.0036,<0.006
1258,2012-01-13T18:47:00,2012-01-13T12:14,42,0.42 - 1.2 µm,8.501,0.1698,0.0049,0.0073,0.0268,0.3227,0.246,0.2209,0.3402,0.0051,<0.0002,0.331,0,0.331,161.15,3.233,0.355,0.524,3.53,95.78,0.191,0.187,0.591,0.367,0.131,0.146,2.744,0.103,4.455,<0.0036,0.469
1259,2012-01-13T18:47:00,2012-01-13T12:14,42,1.2 - 3.5 µm,40.28,1.0358,0.0134,0.0808,0.188,1.1258,1.5972,1.1462,1.0739,0.0516,<0.0002,0.775,0.18,0.955,945.84,40.503,1.426,1.242,17.957,638.52,0.569,0.594,1.744,0.704,0.047,0.244,13.504,0.949,13.958,<0.0036,1.342
1260,2012-01-13T18:47:00,2012-01-13T12:14,42,3.5 - 10 µm,29.978,1.6598,0.0059,0.0862,0.1612,1.0874,2.8168,0.6085,1.1184,0.0326,0.0012,1.209,0,1.209,827.45,71.308,1.458,2.005,14.451,733.7,0.753,0.668,1.735,0.565,0.129,0.023,10.121,1.423,11.359,0.843,2.452
1261,2012-01-14T11:34:00,2012-01-13T19:09,42,0.05 - 0.14 µm,0.263,<0.0006,0.006,<0.0006,0.0014,0.0888,0.0127,0.0049,0.0354,0.0004,<0.0002,0.076,0.003,0.079,2.54,0.078,0.027,<0.0336,<0.0096,1.53,0.042,<0.048,0.195,0.046,<0.003,<0.001,0.058,<0.0048,<0.0048,<0.0036,<0.006
1262,2012-01-14T11:34:00,2012-01-13T19:09,42,0.14 - 0.42 µm,1.176,0.0077,0.0226,0.0027,0.0035,0.1144,0.0103,0.0064,0.2191,0.0006,<0.0002,0.095,0,0.095,23.81,1.776,0.772,0.415,0.34,20.71,0.309,0.052,0.294,0.244,0.023,0.017,0.324,0.024,<0.0048,<0.0036,<0.006
