No,Date/Time,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3],Duration,Date/time end
15875944,2010-01-28 13:57:11,42,0.42 - 1.2 µm,5.461,2.063,0.0,0.009,0.0449,0.101,0.1296,0.0852,2.7875,0.0103,0.0,0.0,0.475,0.0,1151.27,138.2611,0.347,0.559,0.0048,0.0,0.4757,0.239,0.189,0.1007,0.2081,0.0146,2.2499,0.2341,0.0,0.0,0.0,87115.0,2010-01-29 14:09:06
7727023,2012-02-20 11:58:00,42,0.14 - 0.42 µm,39.243,0.0,0.0256,0.0031,0.0401,0.01333,1.1661,0.0298,1.0549,0.1371,0.0,0.0,0.242,0.675,156.67,18.7631,0.7443,2.4385,0.0048,13.7975,0.1021,1.055,2.709,0.2642,0.0,0.023,1.0024,0.3293,0.0,0.7258,0.0,62698.0,2012-02-21 05:22:58
7949757,2012-01-31 12:53:35,42,0.05 - 0.14 µm,1.239,2.4311,0.0,0.0116,0.0,0.00125,3.5823,0.0006,2.1152,0.0,0.0,0.434,0.008,0.312,0.0,3.5332,0.0,0.1837,0.0048,0.0,0.0072,1.221,2.54,0.2999,0.044,0.0245,11.8996,8.4036,0.0,0.437,0.0,0.0,2012-01-31 12:53:35
3430771,2012-02-20 11:58:00,42,3.5 - 10 µm,13.3,0.0,0.0,0.0001,0.0,0.09922,0.3276,0.0006,0.9711,0.0012,0.0001,0.0,0.04,0.274,156.16,23.3406,0.1985,5.5992,0.0048,121.1303,0.0072,0.287,0.0,0.5644,0.0548,0.2413,2.5796,0.2781,0.0,0.0,0.184,0.0,2012-02-20 11:58:00
3671147,2010-05-10 15:02:28,42,0.42 - 1.2 µm,25.8,0.0724,0.0,0.0001,0.4019,0.17938,1.3622,0.2185,0.2953,0.0044,0.0,0.0,0.029,0.981,0.0,62.7166,0.3558,6.5154,3.0458,0.0,0.0992,0.01,0.644,0.0875,0.1838,0.0336,3.9335,0.0,0.0778,0.0,0.0,0.0,2010-05-10 15:02:28
10908535,2011-01-28 01:28:52,42,0.42 - 1.2 µm,4.971,1.1911,0.0,0.4674,0.0,0.08762,0.2358,0.0006,1.0466,0.0,0.0,0.874,0.036,0.0,192.89,52.7888,0.2741,0.3573,0.0343,952.1008,0.0072,0.01,1.372,0.4281,0.0,0.0464,4.1503,0.7206,9.9657,0.3751,0.501,90200.0,2011-01-29 02:32:12
6050008,2011-03-17 20:04:47,42,1.2 - 3.5 µm,20.204,0.3538,0.0473,0.0083,0.0066,0.0107,3.8767,0.0424,0.5587,0.0,0.0178,0.0,0.511,1.187,47.38,5.8534,0.6372,0.3423,1.9506,0.0,0.0072,0.333,2.39,0.0,0.0538,0.0172,0.0,0.3506,0.0,0.0,0.0,105077.0,2011-03-19 01:16:04
11507629,2010-05-14 08:58:27,42,3.5 - 10 µm,7.282,0.1803,0.0,0.0066,0.0073,0.30437,0.6152,0.0688,0.9897,0.0005,0.0,0.053,0.0,0.151,14.91,116.3367,0.0,0.7636,0.0048,92.9035,0.1126,0.01,0.136,0.4191,0.0,0.0499,37.4769,0.2258,0.8586,0.0,0.0,0.0,2010-05-14 08:58:27
9832898,2011-03-30 02:23:06,42,0.05 - 0.14 µm,6.091,0.0,0.0,0.0543,0.0,0.03838,7.481,0.0183,0.4643,0.0392,0.0026,0.301,0.0,0.048,0.0,0.0,0.1478,1.2709,0.0048,1261.1217,0.0072,0.044,0.273,2.4314,0.0085,0.0436,53.3634,0.1336,0.0,0.0,0.0,0.0,2011-03-30 02:23:06
11016588,2010-01-11 16:30:00,42,0.05 - 0.14 µm,12.587,0.2171,0.0,0.0539,0.0,0.64629,0.4449,0.0066,0.0,0.0033,0.0,0.0,0.008,0.269,0.0,114.1667,4.6617,0.0,5.5421,0.0,0.4084,0.387,0.026,0.0952,0.0285,0.2169,3.7277,0.4222,0.0,5.1736,0.0,78714.0,2010-01-12 14:21:54
6302513,2011-03-08 03:50:26,42,0.42 - 1.2 µm,8.934,0.0,0.0074,0.0001,0.2981,0.38321,0.33,0.0157,1.0309,0.0,0.0,0.962,0.0,0.741,0.0,11.9355,0.6988,0.6381,12.7463,0.0,0.0072,0.01,2.179,0.0,0.0,0.0027,2.2294,0.1363,0.0,0.5904,0.04,206749.0,2011-03-10 13:16:15
849422,2011-11-25 04:18:55,42,1.2 - 3.5 µm,0.009,0.4277,0.0171,0.0051,0.0036,0.03104,0.5893,0.6834,0.4135,0.0,0.0,0.589,0.033,0.111,0.0,13.7504,0.0,10.6896,5.0376,155.8526,0.3011,0.256,2.671,0.5612,0.0,0.0188,0.0,0.0697,1.6162,11.2803,0.0,105295.0,2011-11-26 09:33:50
6977084,2011-01-19 00:08:03,42,0.42 - 1.2 µm,0.009,0.3676,0.0005,0.1048,0.0114,0.00125,0.9823,0.7501,0.4153,0.005,0.0026,0.141,0.025,0.552,0.0,101.4275,0.2062,0.1978,2.8521,0.0,0.0072,0.273,0.0,0.0,0.0,0.1,3.1488,0.5446,0.0,16.193,0.0,89059.0,2011-01-20 00:52:22
