,Unnamed: 0.1,Unnamed: 0,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
0,6215526,37,1147,2010-02-22 01:08:15,2010-02-22 02:08:15,42,3.5 - 10 µm,0.938,0.0182,0.0012,0.0003,0.0477,0.27697,0.3673,0.0396,0.8709,0.0002,0.0,0.701,0.013,1.658,1.48,1.4334,0.0725,1.4977,62.7495,2066.7365,0.8614,0.024,1.974,0.0032,0.2664,0.0005,0.0877,2.3245,0.299,0.0504,0.003
1,3467512,5,1019,2012-02-10 03:03:10,2012-02-10 04:03:10,42,3.5 - 10 µm,3.314,2.0952,0.0015,0.0005,0.0694,0.08919,8.9317,0.4956,0.122,0.0002,0.0002,0.778,0.007,0.07,2.64,32.7463,0.0542,0.1973,0.7859,8.7767,13.3379,0.032,0.744,0.069,0.0221,0.0009,0.0351,0.0022,72.027,0.0008,0.003
2,4726824,185,1382,2010-02-22 13:21:13,2011-10-01 13:51:23,42,0.05 - 0.14 µm,22.603,0.0981,0.0533,0.2014,0.0006,0.00677,0.0121,0.7539,0.3455,0.0,0.0002,0.52,0.004,0.345,0.82,0.9181,31.4447,2.7233,101.8874,918.833,0.0478,0.048,2.443,0.0026,0.0739,0.0124,0.0143,0.002,1.3842,0.1148,0.264
3,8274909,202,1296,2012-01-13 08:11:39,2012-01-13 09:11:39,42,0.05 - 0.14 µm,0.048,0.2037,0.0278,0.0003,0.9126,0.01225,0.1,0.7698,0.2286,0.0001,0.0033,0.534,0.001,0.387,20.83,17.6831,0.4658,0.0173,0.1516,1.1476,0.01,0.118,1.153,0.0039,0.0019,0.0132,0.1176,0.6486,0.0024,0.001,0.003
4,12485358,396,891,2011-09-11 13:57:46,2011-09-11 14:57:46,42,0.42 - 1.2 µm,0.047,0.0005,0.0003,0.0091,0.0029,0.05601,0.1925,0.0691,1.0907,0.0,0.0001,2.333,1.068,0.076,81.86,17.2004,1.4051,0.2891,41.1922,1777.392,0.0186,0.395,1.61,0.0075,0.0618,0.0191,0.3444,0.002,0.4531,0.0,0.003
5,16630072,232,1336,2010-01-12 06:36:00,2011-02-22 02:48:54,42,0.14 - 0.42 µm,0.783,0.0095,0.1284,0.0003,0.2874,0.0752,0.0167,0.0335,1.0396,0.0442,0.0001,0.183,0.006,0.086,2914.86,0.7365,0.0075,0.3509,22.6036,401.8533,0.0276,0.071,0.289,0.0506,0.0075,0.1506,0.007,8.1901,22.0008,0.0031,0.02
6,14338099,85,1189,2010-01-13 04:35:05,2010-01-13 05:35:05,42,1.2 - 3.5 µm,19.542,0.4751,0.0881,0.0003,0.1946,0.00395,0.3164,0.1584,2.6656,0.027,0.0002,0.74,0.011,0.983,8.14,37.0056,0.0189,1.39,0.8017,32.7058,0.1136,0.033,2.841,0.0043,0.0015,0.0028,1.4063,0.0029,0.4968,0.0005,0.003
7,2787457,6,1467,2010-01-12 23:06:59,2010-01-13 00:06:59,42,3.5 - 10 µm,13.249,0.0002,0.0009,0.0309,0.0096,0.04346,0.0175,0.0161,0.9287,0.0109,0.0001,0.55,0.153,0.164,5033.97,0.4174,0.0944,0.0266,0.131,0.2569,0.01,0.024,1.102,0.0361,0.0015,0.0063,0.3295,0.0179,0.0372,0.0004,0.006
8,1265010,4,1508,2011-01-28 04:33:36,2011-01-28 05:33:36,42,3.5 - 10 µm,0.24,0.007,0.0001,0.0887,0.0327,0.15606,0.4888,0.12,0.0966,0.0025,0.0,0.098,0.006,0.834,56.29,22.6487,0.0028,0.3044,0.006,2.7719,0.5363,0.147,1.46,0.1984,0.0058,0.0197,0.1878,0.0025,0.0024,0.0023,0.003
9,6105171,63,856,2010-02-03 06:14:37,2012-01-12 10:54:42,42,0.05 - 0.14 µm,5.291,0.0169,0.1676,0.0003,0.1759,0.00388,4.5053,0.0079,1.403,0.0001,0.0018,0.703,0.003,0.141,2006.31,3.0352,32.426,1.5746,4.3411,12.1756,0.01,0.026,0.422,0.0707,0.0227,0.0695,0.4039,21.0751,1.7762,0.0028,0.02
10,9298258,266,1067,2012-02-01 12:56:24,2012-02-01 13:56:24,42,0.14 - 0.42 µm,96.861,0.1103,0.0323,0.337,0.2374,0.09989,0.1168,0.1335,0.5508,0.0161,0.0003,0.824,0.009,0.274,77.97,38.2983,0.0134,0.5338,5.9709,2274.5583,0.1971,0.043,0.465,0.0095,0.0017,0.0262,0.1757,0.8002,0.5763,0.0012,0.003
11,7187470,1,1529,2010-01-13 10:37:33,2010-01-30 17:05:41,42,1.2 - 3.5 µm,0.051,0.0012,0.0199,0.1795,0.0049,0.01093,0.1528,0.0019,1.3253,0.0001,0.0002,2.908,0.002,0.471,24.2,0.5259,1.8843,0.0908,9.408,3.3917,15.176,0.024,0.312,0.0049,0.0144,0.0091,0.0325,0.0064,170.4752,0.0005,0.003
