Unnamed: 0.1,Unnamed: 0,No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
6215526,8970884,1141,2010-02-07 20:34:10,2011-10-17 07:40:03,42,1.2 - 3.5 µm,46.726,1.1321,0.0096,0.0546,0.1615,0.42283,2.9213,0.0006,1.0717,0.0124,0.0145,0.168,0.0,0.307,113.51,28.2838,0.2158,3.7568,5.7896,0.0,0.0072,0.388,0.242,0.0,0.076,0.0921,5.0202,0.0,6.2324,1.1238,1.032
3467512,3143223,1554,2011-12-08 00:29:02,2011-03-13 16:06:54,42,1.2 - 3.5 µm,0.009,2.4012,0.0304,0.0806,0.0737,0.19789,3.0608,0.1917,0.5901,0.0219,0.0,0.259,0.049,1.372,578.93,239.5391,0.0,3.9606,9.1959,0.0,1.5185,0.01,1.122,0.0,0.0,0.0,22.3788,0.0,6.2324,10.449,0.163
4726824,10810119,1237,2010-04-09 09:32:58,2011-03-16 06:43:46,42,0.05 - 0.14 µm,0.009,2.7459,0.0039,0.007,0.2361,0.73002,4.6371,0.1917,0.0497,0.002,0.0042,0.0,0.049,0.517,212.43,32.5821,0.0,1.1393,21.7057,346.0417,0.2942,0.01,0.74,0.5178,0.0,0.0067,8.6255,0.7628,0.0,1.7967,0.0
8274909,7748627,1168,2011-01-24 19:07:04,2011-01-21 06:47:49,42,3.5 - 10 µm,53.826,1.1181,0.0273,0.113,0.0,0.71488,4.3185,0.4077,0.6068,0.0194,0.0172,0.0,0.049,0.852,835.71,57.8612,0.0,0.874,5.7896,0.0,0.093,0.388,0.0,1.4249,0.2123,0.0463,1.2839,0.0,36.6223,1.722,2.056
12485358,915797,1063,2010-02-23 02:00:38,2010-11-14 07:09:55,42,1.2 - 3.5 µm,17.358,1.1181,0.0224,0.1521,0.1406,0.12331,3.3256,0.1917,0.4179,0.0071,0.0211,0.609,0.027,0.215,252.76,28.2838,1.2481,1.8464,0.0048,346.0417,0.0726,0.094,1.106,0.5178,0.0,0.1238,1.3274,0.5245,6.2324,0.0,1.779
16630072,4610624,1422,2011-11-21 18:17:14,2011-04-21 04:41:54,42,3.5 - 10 µm,17.358,1.7585,0.0434,0.035,0.301,0.00125,1.896,0.454,0.8435,0.0,0.0042,0.259,0.0,0.385,329.06,28.2838,0.0,6.5337,5.7896,346.0417,0.3857,0.891,0.0,2.6649,0.0153,0.0813,0.0,4.5763,53.5142,1.722,0.866
14338099,10936459,1170,2011-02-16 16:34:30,2010-10-01 13:03:53,42,0.42 - 1.2 µm,87.484,0.0,0.0081,0.0552,0.096,0.00964,2.1863,0.0006,0.9228,0.0279,0.0042,0.255,0.0,0.356,329.06,0.0,0.8268,0.0,5.7896,346.0417,0.1296,0.388,1.284,0.5178,0.1374,0.0,6.161,0.0,6.2324,1.722,1.137
2787457,11441858,1169,2011-07-31 23:48:21,2011-02-17 00:13:19,42,3.5 - 10 µm,32.823,0.0,0.0,0.0001,0.0744,0.70899,2.1327,0.0006,0.4161,0.0202,0.0154,0.259,0.016,0.0,0.0,34.9111,0.0,0.8978,0.0048,983.6592,1.9242,0.388,0.0,0.6809,0.0834,0.0431,0.0,0.0,0.0,0.0,1.957
1265010,3187447,1337,2011-11-22 21:23:03,2010-03-19 08:52:08,42,0.42 - 1.2 µm,17.358,2.221,0.0459,0.0546,0.0058,0.86334,2.4388,0.5755,0.0,0.0055,0.0267,0.589,0.017,0.307,1859.29,28.2838,0.0,0.8978,27.9438,445.3445,1.6579,0.33,1.106,2.2053,0.076,0.0431,1.738,2.8346,7.3741,9.9491,1.032
6105171,14846246,1254,2011-07-10 03:47:06,2011-02-17 00:13:19,42,0.14 - 0.42 µm,17.358,1.6481,0.0,0.0546,0.1406,0.34215,0.0028,0.1917,0.5009,0.0008,0.0,0.337,0.0,0.16,742.81,267.786,1.4057,0.0,5.7896,529.5031,0.3857,0.962,3.396,0.5178,0.076,0.0017,0.0,2.4999,6.2324,1.722,3.249
9298258,683403,1022,2010-08-31 07:46:17,2011-01-25 13:39:12,42,3.5 - 10 µm,17.358,0.6079,0.0,0.0547,0.1526,0.22122,1.9377,0.0069,0.5646,0.0031,0.0054,0.259,0.054,0.0,930.26,41.703,3.0517,0.0903,8.0945,346.0417,1.4129,0.473,0.0,0.0,0.0118,0.0,5.0209,2.2569,6.2324,5.1909,0.0
7187470,13931502,1080,2012-02-20 11:58:00,2012-02-17 12:12:00,42,0.42 - 1.2 µm,40.381,2.7503,0.022,0.0069,0.0262,0.68411,1.9377,0.0006,0.0,0.0101,0.0143,0.422,0.1,0.307,329.06,21.1471,3.0669,3.3366,5.7896,0.0,0.0072,0.926,3.497,0.0,0.0517,0.0431,24.6387,2.2467,6.2324,0.0,3.188
7378629,550367,1072,2010-02-27 03:06:45,2010-11-20 16:36:24,42,1.2 - 3.5 µm,17.358,1.104,0.0334,0.0999,0.0807,0.40204,1.0722,0.1917,0.5901,0.0122,0.0042,0.004,0.0,0.275,718.07,28.2838,0.8268,0.5676,5.7896,604.0163,0.3857,0.01,1.106,0.0,0.0,0.0506,0.0,1.6396,3.7949,0.0,0.325
