No,Date/Time,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3],Duration,Date/time end
15875944,2011-07-02 10:45:47,42,3.5 - 10 µm,28.339,5.0154,0.0021,0.0276,0.2509,0.86661,7.9252,0.5723,1.2409,0.0153,0.0004,0.274,0.076,0.282,277.69,57.213,0.0796,0.8613,7.7846,214.7956,0.5036,0.389,1.217,0.8646,0.0019,0.0575,6.9178,0.6231,0.3009,4.076,0.546,0.0,2011-07-02 10:45:47
7727023,2010-12-21 06:20:19,42,0.42 - 1.2 µm,1.6,0.1503,0.0147,0.0003,0.0983,0.18492,0.3144,0.0659,0.0751,0.0022,0.0008,0.123,0.003,0.158,2.56,0.0009,0.0057,0.0344,0.7583,0.5612,0.1118,0.044,0.041,0.0063,0.0015,0.0,0.0814,0.0017,0.0489,0.0057,0.005,44718.0,2010-12-21 18:45:37
7949757,2010-02-04 00:40:56,42,0.14 - 0.42 µm,0.48,0.032,0.0244,0.0003,0.0008,0.00283,0.0329,0.0038,0.0766,0.0005,0.001,0.004,0.06,0.004,0.15,0.0209,1.5356,0.0106,0.0171,0.0343,0.2112,0.025,0.104,0.0693,0.0103,0.005,0.0002,0.0043,11.1612,0.0339,0.026,74664.0,2010-02-04 21:25:20
3430771,2010-11-23 08:12:52,42,0.05 - 0.14 µm,1.089,0.0058,0.0093,0.0003,0.0052,0.07505,0.0066,0.0006,0.0604,0.0001,0.0001,0.114,0.082,0.197,4.71,0.0,0.002,0.0851,0.0688,0.2018,0.0381,0.426,0.374,0.4337,0.0477,0.0173,0.1174,0.0011,0.0024,0.0001,0.003,125118.0,2010-11-24 18:58:10
3671147,2012-02-20 11:58:00,42,1.2 - 3.5 µm,14.249,0.023,0.0188,0.0029,0.0001,0.50859,0.1071,0.2569,0.4599,0.0191,0.0021,0.617,0.076,0.498,765.08,166.8126,3.2219,2.1173,17.2011,1261.034,1.997,1.596,2.46,1.1639,0.0017,0.0002,6.6045,5.8909,75.0921,7.2287,5.877,0.0,2012-02-20 11:58:00
10908535,2010-08-03 16:13:57,42,1.2 - 3.5 µm,24.916,4.0459,0.0547,0.1428,0.8186,0.13643,6.0304,0.176,1.1455,0.016,0.0024,0.374,0.02,0.308,637.85,54.7703,3.5247,1.9371,8.0729,945.1815,1.6696,0.282,1.153,0.597,0.0065,0.1491,17.516,0.1147,14.886,2.7595,0.418,7071.0,2010-08-03 18:11:48
6050008,2010-01-19 17:32:20,42,0.14 - 0.42 µm,0.023,0.0098,0.0003,0.0003,0.0023,0.01014,0.0147,0.0047,0.0046,0.0006,0.0,0.048,0.023,0.036,0.27,0.1015,0.0077,0.009,0.0074,0.0031,0.0152,0.069,0.073,0.002,0.0301,0.0001,0.0,0.001,0.0024,0.0,0.003,220145.0,2010-01-22 06:41:25
11507629,2011-09-18 20:26:01,42,0.14 - 0.42 µm,1.634,0.0235,0.0943,0.0013,0.0006,0.05508,0.02,0.0036,0.7529,0.0003,0.0005,0.049,0.013,0.051,0.0,0.0009,0.0292,0.0285,0.006,0.0002,0.1098,0.034,0.166,0.0614,0.065,0.007,0.0002,0.001,0.0024,0.0,0.003,0.0,2011-09-18 20:26:01
9832898,2011-05-03 05:48:04,42,0.05 - 0.14 µm,0.039,0.0004,0.0055,0.0003,0.0,0.00597,0.0031,0.0079,0.0317,0.0005,0.0004,0.024,0.009,0.026,44.24,1.7257,1.6378,0.275,0.031,19.5658,0.5435,0.058,0.914,0.668,0.0052,0.0617,0.1925,0.0579,0.0024,0.0012,0.003,0.0,2011-05-03 05:48:04
11016588,2012-02-09 18:41:24,42,3.5 - 10 µm,13.154,1.2618,0.0427,0.1639,0.0658,0.20964,2.088,0.6529,0.7207,0.0492,0.0066,0.362,0.016,0.375,713.64,40.9896,0.1986,0.6839,10.0911,696.3245,0.3868,0.908,2.15,0.793,0.0082,0.3025,9.4757,1.5011,0.8845,0.0007,0.014,0.0,2012-02-09 18:41:24
6302513,2010-02-16 07:08:30,42,0.14 - 0.42 µm,1.327,0.0002,0.002,0.0003,0.0015,0.02996,0.0029,0.0038,0.0345,0.0004,0.0,0.181,0.031,0.127,37.04,43.8213,0.9729,1.2333,1.5941,137.1155,1.486,0.58,2.379,1.1907,0.0089,0.0162,0.3336,0.3795,0.0072,0.1204,0.009,49648.0,2010-02-16 20:55:58
849422,2011-08-02 10:10:28,42,0.42 - 1.2 µm,4.049,0.1952,0.0092,0.0003,0.0016,0.20264,0.1551,0.0925,0.4415,0.0293,0.0048,0.237,0.043,0.382,203.09,6.7582,1.3109,0.556,0.9119,83.7884,0.0343,0.113,0.823,0.2483,0.0079,0.0064,2.0082,0.3749,0.0122,0.0417,0.003,55896.0,2011-08-03 01:42:04
